[ 1108.545847]  logcat
I/ActivityManager(  973): Start proc com.coship.adjustthevolume for broadcast com.coship.adjustthevolume/.BootCompletedReceiver: pid=1802 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
V/CheckBackdoors( 1757): add new backdoor. actionName=com.coship.adjustthevolume, backdoor.mBackdoorKey=0x5252525252
V/CheckBackdoors( 1757): add new backdoor. actionName=com.coship.adjustthevolume.Volup, backdoor.mBackdoorKey=0x18
V/CheckBackdoors( 1757): add new backdoor. actionName=com.coship.adjustthevolume.VolDown, backdoor.mBackdoorKey=0x19
I/ActivityManager(  973): Start proc com.iflytek.xiri.remotecmd for service com.iflytek.xiri.remotecmd/com.iflytek.xiri.vocmd.MyService: pid=1829 uid=10033 gids={}
V/EthernetMonitor(  973): get event eth0:21:
V/EthernetMonitor(  973): dev: eth0 ev 21
V/EthernetStateTracker(  973): report address is removed for eth0
V/EthernetMonitor(  973): go poll events
I/EthernetStateTracker(  973): received interface address remove event
V/EthernetMonitor(  973): get event eth0:20:
V/EthernetMonitor(  973): dev: eth0 ev 20
I/EthernetStateTracker(  973): report new state CONNECTED on dev eth0
V/EthernetStateTracker(  973): update network state tracker
D/EthernetStateTracker(  973): DhcpHandler: DHCP request succeeded: addr: 192.168.2.102/24 mRoutes: 0.0.0.0/0 -> 192.168.2.1 |  dns: 192.168.2.1, dhcpServer: 192.168.2.1 leaseDuration: 7200
D/ConnectivityService(  973): handleInetConditionHoldEnd: net=1, condition=0, published condition=0
I/ActivityManager(  973): START {flg=0x10000000 cmp=com.coship.dvbsetting/.main (has extras)} from pid 1260
I/ActivityManager(  973): Start proc com.coship.dvbsetting for activity com.coship.dvbsetting/.main: pid=1875 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
W/InputManagerService(  973): Starting input on non-focused client com.android.internal.view.IInputMethodClient$Stub$Proxy@41625878 (uid=10006 pid=1260)
I/ActivityManager(  973): START {cmp=com.coship.dvbsetting/.systemsetting.SyssetAcivity} from pid 1875
V/EthernetStateTracker(  973): getEthernetIPAddr : 192.168.2.102
V/EthernetStateTracker(  973): configureInterfaceAutoIP skip!!
V/EthernetMonitor(  973): go poll events
V/EthernetMonitor(  973): get event 
V/EthernetMonitor(  973): go poll events
W/ActivityManager(  973): Timeout of broadcast BroadcastRecord{416bab98 android.net.conn.CONNECTIVITY_CHANGE} - receiver=android.os.BinderProxy@415aacc0, started 10095ms ago
W/ActivityManager(  973): Receiver during timeout: ResolveInfo{4162f820 com.aidufei.otoService.BootReceiver p=0 o=0 m=0x108000}
I/EthernetStateTracker(  973): received configured succeeded, stack=true CC=true
D/ConnectivityService(  973): ConnectivityChange for ETH: CONNECTED/CONNECTED
I/EthernetStateTracker(  973): stop dhcp and interface
I/EthernetStateTracker(  973): IntentBroadcast, event=1
V/EthernetMonitor(  973): get event eth0:17:
V/EthernetMonitor(  973): dev: eth0 ev 17
I/EthernetStateTracker(  973): report new state DISCONNECTED on dev eth0
V/EthernetStateTracker(  973): update network state tracker
V/EthernetMonitor(  973): go poll events
V/EthernetMonitor(  973): get event eth0:21:
V/EthernetMonitor(  973): dev: eth0 ev 21
