--------- beginning of /dev/log/system
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission com.google.android.googleapps.permission.ACCESS_GOOGLE_PASSWORD in package com.google.android.gsf
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission com.google.android.googleapps.permission.GOOGLE_MAIL_SWITCH in package com.google.android.gsf
03-24 22:31:00.103 I/SystemServer(  380): Wi-Fi Service
03-24 22:31:00.113 I/SystemServer(  380): Connectivity Service
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService starting up
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE2, Netconfig name:mobile2_hipri, type:18
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE, Netconfig name:mobile_hipri, type:5
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE2, Netconfig name:mobile2_cbs, type:21
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE2, Netconfig name:mobile2_ims, type:20
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE2, Netconfig name:mobile2_fota, type:19
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE2, Netconfig name:mobile2_supl, type:16
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE2, Netconfig name:mobile2_mms, type:15
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE, Netconfig name:mobile_cbs, type:12
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE, Netconfig name:mobile_ims, type:11
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE, Netconfig name:mobile_fota, type:10
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE, Netconfig name:mobile_supl, type:3
03-24 22:31:00.113 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE, Netconfig name:mobile_mms, type:2
03-24 22:31:00.123 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE2, Netconfig name:mobile2, type:14
03-24 22:31:00.123 E/MobileDataStateTracker(  380): default: Ignoring feature request because could not acquire PhoneService
03-24 22:31:00.123 E/MobileDataStateTracker(  380): default: Could not enable APN type "default"
03-24 22:31:00.133 D/ConnectivityService(  380): ConnectivityService(), ConnectivityManager.TYPE_MOBILE, Netconfig name:mobile, type:0
03-24 22:31:00.133 E/MobileDataStateTracker(  380): default: Ignoring feature request because could not acquire PhoneService
03-24 22:31:00.133 E/MobileDataStateTracker(  380): default: Could not enable APN type "default"
03-24 22:31:00.133 I/WifiService(  380): WifiService starting up with Wi-Fi enabled
03-24 22:31:00.133 D/WifiService(  380): setWifiEnabled: true pid=380, uid=1000
03-24 22:31:00.133 I/SystemServer(  380): Network Service Discovery Service
03-24 22:31:00.133 D/NsdService(  380): Network service discovery enabled true
03-24 22:31:00.153 I/SystemServer(  380): Throttle Service
